Variable;DEPAC;;Massad;;Zhang;
;low;high;low;high;low;high
Temperature, random error;-0.10%;0.10%;2.50%;-2.50%;0.70%;-0.70%
Temperature, systematic error;-0.60%;0.50%;12.40%;-12.80%;3.10%;-3.60%
Relative Humidity, measurement error;-15.60%;16.00%;-25.60%;31.40%;-4.60%;3.10%
Relative Humidity, systematic error;0.00%;4.00%;0.00%;7.40%;0.00%;0.90%
Radiation, measurement error;0.20%;-0.10%;-0.40%;0.40%;-0.20%;0.20%
Friction velocity, stable conditions;-3.30%;3.10%;-1.60%;1.50%;-4.50%;4.40%
Friction velocity, unstable conditions;-5.80%;4.40%;-3.60%;2.60%;-12.50%;11.70%
z/L, stable conditions;2.10%;-1.70%;0.90%;-0.70%;0.50%;-0.40%
z/L, unstable conditions;7.10%;-1.80%;4.40%;-1.20%;3.00%;-1.00%
Roughness length, northern wind sector;-0.40%;0.30%;-0.30%;0.30%;-0.10%;0.10%
Roughness length, eastern wind sector;-9.70%;4.90%;-3.90%;1.80%;-3.70%;1.50%
Roughness length, southern wind sector;-4.60%;2.70%;-3.00%;1.60%;-1.90%;0.90%
Roughness length, western wind sector;-1.90%;1.30%;-1.50%;1.10%;-0.60%;0.40%
Canopy height;0.00%;3.70%;0.00%;1.80%;0.00%;1.10%
LAI, measurement error;-13.40%;10.50%;-11.40%;9.40%;-4.70%;3.90%
SAI_{Haarweg}, measurement error;15.00%;-11.10%;0.00%;0.00%;0.00%;0.00%
NH_{3}, measurement random error;-2.70%;2.70%;-3.30%;3.30%;-5.00%;5.00%
NH_{3}, measurement systematic error;-0.40%;0.90%;-0.50%;1.00%;-0.80%;1.60%
SO_{2}, measurement error;-0.90%;0.90%;-6.80%;6.50%;0.00%;0.00%
G_{s,max} DEPAC & Massad;2.30%;-3.90%;-5.30%;8.60%;0.00%;0.00%
G_{s,max} Zhang;0.00%;0.00%;0.00%;0.00%;-2.50%;4.70%
R_{g,dry} Zhang;0.00%;0.00%;0.00%;0.00%;-13.00%;6.10%
R_{g,wet} Zhang;0.00%;0.00%;0.00%;0.00%;0.40%;0.00%
R_{ac} Zhang;0.00%;0.00%;0.00%;0.00%;2.40%;-2.00%
? Rw DEPAC;80.30%;-27.10%;0.00%;0.00%;0.00%;0.00%
 ? Rw DEPAC;-33.00%;23.30%;0.00%;0.00%;0.00%;0.00%
? Rw Massad;0.00%;0.00%;165.00%;-30.60%;0.00%;0.00%
 ? Rw Massad;0.00%;0.00%;206.20%;-61.60%;0.00%;0.00%
 ?_Temperature Massad;0.00%;0.00%;39.50%;-25.20%;0.00%;0.00%
Rw,dry Zhang;0.00%;0.00%;0.00%;0.00%;12.90%;-9.00%
Rw,wet Zhang;0.00%;0.00%;0.00%;0.00%;0.70%;-0.50%
? Rw, dry, Zhang;0.00%;0.00%;0.00%;0.00%;0.00%;-0.80%
? Rw, wet, Zhang;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%
 ? Rw Zhang;0.00%;0.00%;0.00%;0.00%;-18.40%;53.30%
?_{w} DEPAC;18.60%;-122.40%;0.00%;0.00%;0.00%;0.00%
?_{s} DEPAC;11.40%;-25.20%;0.00%;0.00%;0.00%;0.00%
?_{s} Massad;0.00%;0.00%;43.00%;-49.70%;0.00%;0.00%
?_{s} Zhang;0.00%;0.00%;0.00%;0.00%;6.80%;-7.90%
?_{g} Zhang;0.00%;0.00%;0.00%;0.00%;22.30%;-24.80%
